
"Title";"Description";"Price";"Producer";"Rating";"Review_count";"Specifications"
"Kawa ziarnista Kawariatka 250g";"Pragniesz chwili wytchnienia i czasu tylko dla siebie z kubkiem pysznej kawy? Rzuć wszystko, wszelkie obowiązki domowe i pracę, znajdź moment, aby celebrować chwilę z wyjątkową i słodką kawą Kawariatka";"32.99";"COFFEE PLANT";"4.93";"69";"Skład: 100% Arabika | Stopień palenia: Średni | Zawartość kofeiny: Niska | Rodzaj: Kawa ziarnista | Palarnia: Polska | Przeznaczenie : Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki | Opakowanie: 250g | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny | Crema: Trwała | Wyczuwalne smaki: Orzechy Wanilia Biała czekolada | Intensywność smaku: Średnia | Gorycz: Delikatna | Kwasowość: Delikatna | Słodycz: Mocna | Pochodzenie ziaren: Brazylia | Blend czy Single: Blend / Mieszanki | Polecana do: Espresso Kawa czarna Cappuccino Latte | Kawa Specialty: Tak"
"Kawa ziarnista HAYB Konesso Espresso Blend 1kg";"Średnio palona mieszanka arabiki z Brazylii i Etiopii przeznaczona do ekspresów. HAYB Espresso Blend posiada słodki smak z nutami czekolady oraz czerwonych i żółtych owoców.";"104.99";"HAYB SPECIALITY COFFEE";"4.83";"47";"Skład: 100% Arabika | Stopień palenia: Średni | Zawartość kofeiny: Niska | Rodzaj: Kawa ziarnista | Palarnia: Polska | Przeznaczenie : Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego | Opakowanie: 1000g | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny | Crema: Trwała | Wyczuwalne smaki: Czerwone owoce Żółte owoce Czekolada | Intensywność smaku: Średnia | Gorycz: Delikatna | Kwasowość: Delikatna | Słodycz: Mocna | Pochodzenie ziaren: Brazylia Etiopia | Blend czy Single: Blend / Mieszanki | Polecana do: Espresso Kawa czarna"
"Kawa ziarnista Story Coffee Roasters Love Shot 250g";"Średnio palona mieszanka brazylijskiej i peruwiańskiej arabiki przeznaczona do ciśnieniowych metod parzenia. Story Love Shot posiada słodki smak z wyczuwalną nutą karmelu, śliwki i czekolady.";"31.99";"STORY COFFEE ROASTERS";"4.89";"71";"Skład: 100% Arabika | Stopień palenia: Średni | Zawartość kofeiny: Niska | Rodzaj: Kawa ziarnista | Palarnia: Polska | Przeznaczenie : Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego | Opakowanie: 250g | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny | Crema: Trwała | Wyczuwalne smaki: Karmel Śliwka Czekolada | Intensywność smaku: Średnia | Gorycz: Delikatna | Kwasowość: Delikatna | Słodycz: Mocna | Pochodzenie ziaren: Brazylia Peru | Blend czy Single: Blend / Mieszanki | Polecana do: Espresso Kawa czarna Cappuccino Latte | Kawa Specialty: Tak"
"Kawa ziarnista Trip Coffee Kosmos 1kg";"Średnio palona mieszanka arabiki z Brazylii i Gwatemali przeznaczona do ekspresów i kawiarek. Trip Coffee Kosmos zachwyci delikatną kwasowością. W jej smaku wyczujemy różowego grejpfruta, czekoladę i nugat.";"114.99";"TRIP COFFEE";"0.00";NA;"Skład: 100% Arabika | Rodzaj: Kawa ziarnista | Opakowanie: 1000g | Stopień palenia: Średni | Blend czy Single: Blend / Mieszanki | Kawa Specialty: Nie | Pochodzenie ziaren: Brazylia Gwatemala | Zawartość kofeiny: Niska | Crema: Trwała | Palarnia: Polska | Intensywność smaku: Średnia | Słodycz: Średnia | Kwasowość: Mocna | Gorycz: Delikatna | Wyczuwalne smaki: Różowy grejpfrut Czekolada Nugat | Polecana do: Espresso Kawa czarna Cappuccino Latte | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny | Przeznaczenie : Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"
"Kawa ziarnista Lavazza Tierra for Cuba BIO 1kg";"Średnio palona mieszanka arabiki i robusty z Kuby przeznaczona do ekspresów i kawiarek. Lavazza Tierra for Cuba ma wyważony smak z wyczuwalną nutą czekolady i orzechów.";"124.99";"LAVAZZA";"0.00";NA;"Skład: Arabika, Robusta | Rodzaj: Kawa ziarnista | Opakowanie: 1000g | Stopień palenia: Średni | Blend czy Single: Blend / Mieszanki | Kawa Specialty: Nie | Pochodzenie ziaren: Kuba | Zawartość kofeiny: Średnia | Crema: Trwała | Palarnia: Polska | Intensywność smaku: Mocna | Słodycz: Średnia | Kwasowość: Delikatna | Gorycz: Średnia | Wyczuwalne smaki: Czekolada Orzechy | Polecana do: Espresso Kawa czarna Cappuccino Latte | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny | Przeznaczenie : Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"
"ZESTAW Kawa ziarnista Bazzara DODICIGRANCRU 2x1kg + 4x250g";"Zestaw łącznie zawiera 3 kg kawy ziarnistej Bazzara Dodicigrancru - 2x 1kg oraz 4x 250g.";"443.64";"BAZZARA";"5.00";"15";"Skład: 100% Arabika | Stopień palenia: Średni | Zawartość kofeiny: Niska | Rodzaj: Kawa ziarnista | Przeznaczenie : Do ekspresu automatycznego Do ekspresu kolbowego Do biura Do kawiarni | Polecana do: Espresso Kawa czarna | Blend czy Single: Blend / Mieszanki | Pochodzenie ziaren: Ameryka Południowa Ameryka Środkowa Indie Etiopia | Kwasowość: Mocna | Gorycz: Średnia | Słodycz: Mocna | Intensywność smaku: Średnia | Wyczuwalne smaki: Czekolada Kwiaty Liść tytoniu Przyprawy | Crema: Gęsta | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy French Press Kawiarka Tradycyjny Ekspres przelewowy | Palarnia: Włochy"
"Kawa ziarnista Bazzara PIACEREPURO 1kg";"Bazzara Piacerepuro to kawa ziarnista dla najbardziej wymagających konsumentów. 100% mieszanka ziaren Arabiki Gourmet pochodzących z Azji i południowej Ameryki. Skład: 100% Arabica Gourmet";"149.99";"BAZZARA";"4.98";"425";"Skład: 100% Arabika | Stopień palenia: Średni | Zawartość kofeiny: Niska | Rodzaj: Kawa ziarnista | Przeznaczenie : Do ekspresu automatycznego Do ekspresu kolbowego Do biura Do kawiarni | Palarnia: Włochy | Polecana do: Espresso Kawa czarna | Blend czy Single: Blend / Mieszanki | Pochodzenie ziaren: Brazylia Kolumbia Indie | Kwasowość: Średnia | Gorycz: Średnia | Słodycz: Średnia | Intensywność smaku: Średnia | Wyczuwalne smaki: Orzechy Rodzynki Kakao | Crema: Gęsta | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy French Press Kawiarka Tradycyjny | Opakowanie: 1000g"
"Kawa ziarnista Costa Coffee Caffe Crema VELVET 1kg";"Caffe Crema VELVET to wypalona w stopniu średnim mieszanka robusty i arabiki, przeznaczona do ekspresów ciśnieniowych. Kawa od Costa Coffee to jedwabista i aromatyczna kawa, która charakteryzuje się gęstą cremą oraz posmakiem ciemnej czekolady.";"64.99";"COSTA COFFEE";"4.87";"31";"Skład: Arabika, Robusta | Stopień palenia: Średni | Zawartość kofeiny: Niska | Rodzaj: Kawa ziarnista | Przeznaczenie : Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki | Opakowanie: 1000g | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny | Crema: Trwała | Wyczuwalne smaki: Ciemna czekolada | Intensywność smaku: Średnia | Gorycz: Delikatna | Kwasowość: Delikatna | Słodycz: Średnia | Pochodzenie ziaren: Ameryka Azja | Blend czy Single: Blend / Mieszanki | Palarnia: Anglia | Polecana do: Espresso Kawa czarna Cappuccino Latte | Kawa Specialty: Nie"
"ZESTAW - Kawa ziarnista Trip Coffee Brazylia 1kg + Trip Coffee Peru 1kg";"Zestaw dwóch kaw ziarnistych Trip Coffee, które sprawdzą się do przygotowania w ekspresach ciśnieniowych, french pressie lub kawiarce. W zestawie znajduje się kawa ziarnista Trip Coffee Brazylia 1kg oraz Trip Coffee Peru 1kg.";"199.98";"TRIP COFFEE";"5.00";"4";"Skład: 100% Arabika | Stopień palenia: Średni | Zawartość kofeiny: Niska | Rodzaj: Kawa ziarnista | Palarnia: Polska | Przeznaczenie : Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki | Opakowanie: 2000g | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny | Pochodzenie ziaren: Brazylia Peru | Polecana do: Espresso Kawa czarna Cappuccino Latte | Kawa Specialty: Nie"
"Kawa ziarnista Momento Konesso Blend 1kg";"Średnio palona mieszanka arabiki z Brazylii i Etiopii przeznaczona do ekspresów. Momento Konesso Blend ma słodki smak z nutami czekolady deserowej, toffi i jagód.";"119.99";"MOMENTO COFFEE";"5.00";"20";"Skład: 100% Arabika | Stopień palenia: Średni | Zawartość kofeiny: Niska | Rodzaj: Kawa ziarnista | Palarnia: Polska | Przeznaczenie : Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki | Opakowanie: 1000g | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny | Crema: Trwała | Wyczuwalne smaki: Czekolada deserowa Toffi Jagody | Intensywność smaku: Średnia | Gorycz: Delikatna | Kwasowość: Delikatna | Słodycz: Mocna | Pochodzenie ziaren: Brazylia Etiopia | Blend czy Single: Blend / Mieszanki | Polecana do: Espresso Kawa czarna Cappuccino Latte | Kawa Specialty: Nie"
